WP, 05, 2019070200, 83, EM09,  48, 212N, 1080E,  31,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  60, 221N, 1064E,  26,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  72, 238N, 1067E,  24, 1001,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  84, 249N, 1060E,  10, 1000,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  96, 236N, 1070E,  12, 1000,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,   0, 177N, 1123E,  31,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  12, 183N, 1115E,  36,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  24, 198N, 1098E,  31,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  36, 187N, 1077E,  33,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  48, 205N, 1075E,  29,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  60, 208N, 1075E,  29,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  72, 212N, 1078E,  27,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  84, 229N, 1082E,  28,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10,  96, 235N, 1088E,  25,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM10, 108, 239N, 1095E,  23,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,   0, 183N, 1127E,  34,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  12, 182N, 1091E,  37,  992,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  24, 193N, 1099E,  36,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  36, 207N, 1092E,  36,  994,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  48, 218N, 1088E,  33,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  60, 245N, 1084E,  24,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  72, 252N, 1081E,  14,  998,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  84, 248N, 1091E,   9,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11,  96, 273N, 1122E,  17,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11, 108, 285N, 1147E,  16,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM11, 120, 284N, 1178E,  24,  998,   ,  34, NEQ,    0,    0,    0,    0,
