WP, 26, 2018090900, 83, AP04, 120, 173N, 1269E,  80,  948,   ,  34, NEQ,  258,  252,  204,  260,
WP, 26, 2018090900, 83, AP04, 120, 173N, 1269E,  80,  948,   ,  50, NEQ,  135,  132,  112,  133,
WP, 26, 2018090900, 83, AP04, 132, 183N, 1242E,  86,  940,   ,  34, NEQ,  269,  268,  247,  294,
WP, 26, 2018090900, 83, AP04, 132, 183N, 1242E,  86,  940,   ,  50, NEQ,  163,  147,  143,  148,
WP, 26, 2018090900, 83, AP04, 144, 189N, 1214E,  81,  941,   ,  34, NEQ,  290,  290,  205,  222,
WP, 26, 2018090900, 83, AP04, 144, 189N, 1214E,  81,  941,   ,  50, NEQ,  164,  158,  111,  138,
WP, 26, 2018090900, 83, AP04, 156, 198N, 1187E,  77,  949,   ,  34, NEQ,  254,  280,  208,  255,
WP, 26, 2018090900, 83, AP04, 156, 198N, 1187E,  77,  949,   ,  50, NEQ,  128,  129,  115,  118,
WP, 26, 2018090900, 83, AP04, 168, 208N, 1161E,  73,  951,   ,  34, NEQ,  213,  260,  221,  154,
WP, 26, 2018090900, 83, AP04, 168, 208N, 1161E,  73,  951,   ,  50, NEQ,  127,  129,  112,  118,
WP, 26, 2018090900, 83, AP05,   0, 151N, 1548E,  54,  990,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP05,   0, 151N, 1548E,  54,  990,   ,  50, NEQ,   63,   42,    0,   61,
WP, 26, 2018090900, 83, AP05,  12, 148N, 1516E,  59,  987,   ,  34, NEQ,  114,   83,   69,  108,
WP, 26, 2018090900, 83, AP05,  12, 148N, 1516E,  59,  987,   ,  50, NEQ,   74,    0,    0,   71,
WP, 26, 2018090900, 83, AP05,  24, 145N, 1485E,  72,  970,   ,  34, NEQ,  137,  102,   95,  126,
WP, 26, 2018090900, 83, AP05,  24, 145N, 1485E,  72,  970,   ,  50, NEQ,   77,   67,   51,   75,
WP, 26, 2018090900, 83, AP05,  36, 141N, 1459E,  80,  960,   ,  34, NEQ,  150,  127,  109,  133,
WP, 26, 2018090900, 83, AP05,  36, 141N, 1459E,  80,  960,   ,  50, NEQ,   89,   77,   70,   81,
WP, 26, 2018090900, 83, AP05,  48, 140N, 1435E,  76,  958,   ,  34, NEQ,  162,  143,  135,  152,
WP, 26, 2018090900, 83, AP05,  48, 140N, 1435E,  76,  958,   ,  50, NEQ,   97,   85,   80,   96,
WP, 26, 2018090900, 83, AP05,  60, 143N, 1412E,  85,  950,   ,  34, NEQ,  188,  165,  143,  170,
WP, 26, 2018090900, 83, AP05,  60, 143N, 1412E,  85,  950,   ,  50, NEQ,  118,   98,   90,  106,
WP, 26, 2018090900, 83, AP05,  72, 151N, 1390E,  77,  955,   ,  34, NEQ,  214,  204,  156,  208,
WP, 26, 2018090900, 83, AP05,  72, 151N, 1390E,  77,  955,   ,  50, NEQ,  143,   97,   83,  120,
WP, 26, 2018090900, 83, AP05,  84, 159N, 1365E,  77,  952,   ,  34, NEQ,  267,  233,  159,  231,
WP, 26, 2018090900, 83, AP05,  84, 159N, 1365E,  77,  952,   ,  50, NEQ,  140,  119,   85,  111,
WP, 26, 2018090900, 83, AP05,  96, 169N, 1339E,  77,  950,   ,  34, NEQ,  271,  210,  182,  252,
WP, 26, 2018090900, 83, AP05,  96, 169N, 1339E,  77,  950,   ,  50, NEQ,  156,  108,  112,  137,
WP, 26, 2018090900, 83, AP05, 108, 179N, 1315E,  83,  938,   ,  34, NEQ,  296,  231,  207,  258,
WP, 26, 2018090900, 83, AP05, 108, 179N, 1315E,  83,  938,   ,  50, NEQ,  170,  126,  102,  156,
WP, 26, 2018090900, 83, AP05, 120, 190N, 1290E,  86,  934,   ,  34, NEQ,  285,  270,  240,  285,
WP, 26, 2018090900, 83, AP05, 120, 190N, 1290E,  86,  934,   ,  50, NEQ,  167,  150,  121,  156,
WP, 26, 2018090900, 83, AP05, 132, 200N, 1260E,  89,  922,   ,  34, NEQ,  288,  270,  258,  296,
WP, 26, 2018090900, 83, AP05, 132, 200N, 1260E,  89,  922,   ,  50, NEQ,  183,  173,  150,  169,
WP, 26, 2018090900, 83, AP05, 144, 205N, 1235E, 101,  902,   ,  34, NEQ,  309,  344,  269,  353,
WP, 26, 2018090900, 83, AP05, 144, 205N, 1235E, 101,  902,   ,  50, NEQ,  190,  178,  149,  166,
WP, 26, 2018090900, 83, AP05, 156, 217N, 1210E,  80,  937,   ,  34, NEQ,  297,  334,  216,  291,
WP, 26, 2018090900, 83, AP05, 156, 217N, 1210E,  80,  937,   ,  50, NEQ,  156,  135,  109,  203,
WP, 26, 2018090900, 83, AP05, 168, 226N, 1182E,  64,  960,   ,  34, NEQ,  316,  254,  219,   85,
WP, 26, 2018090900, 83, AP05, 168, 226N, 1182E,  64,  960,   ,  50, NEQ,   80,   87,   55,   67,
WP, 26, 2018090900, 83, AP06,   0, 151N, 1548E,  55,  989,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP06,   0, 151N, 1548E,  55,  989,   ,  50, NEQ,   67,   44,    0,   61,
WP, 26, 2018090900, 83, AP06,  12, 151N, 1508E,  57,  988,   ,  34, NEQ,  125,   77,   76,  124,
WP, 26, 2018090900, 83, AP06,  12, 151N, 1508E,  57,  988,   ,  50, NEQ,   69,    0,    0,   69,
WP, 26, 2018090900, 83, AP06,  24, 148N, 1468E,  66,  979,   ,  34, NEQ,  111,   96,   96,  127,
WP, 26, 2018090900, 83, AP06,  24, 148N, 1468E,  66,  979,   ,  50, NEQ,   76,   60,    0,   75,
WP, 26, 2018090900, 83, AP06,  36, 146N, 1438E,  61,  978,   ,  34, NEQ,  129,  110,   80,  120,
WP, 26, 2018090900, 83, AP06,  36, 146N, 1438E,  61,  978,   ,  50, NEQ,   73,   65,   50,   71,
WP, 26, 2018090900, 83, AP06,  48, 143N, 1410E,  58,  978,   ,  34, NEQ,  132,  119,  114,  133,
WP, 26, 2018090900, 83, AP06,  48, 143N, 1410E,  58,  978,   ,  50, NEQ,   78,   72,    0,   75,
WP, 26, 2018090900, 83, AP06,  60, 148N, 1390E,  61,  977,   ,  34, NEQ,  201,  145,   86,  195,
WP, 26, 2018090900, 83, AP06,  60, 148N, 1390E,  61,  977,   ,  50, NEQ,   94,   70,    0,   74,
WP, 26, 2018090900, 83, AP06,  72, 154N, 1365E,  57,  974,   ,  34, NEQ,  217,  176,  119,  217,
WP, 26, 2018090900, 83, AP06,  72, 154N, 1365E,  57,  974,   ,  50, NEQ,   94,    0,    0,   71,
WP, 26, 2018090900, 83, AP06,  84, 162N, 1340E,  64,  970,   ,  34, NEQ,  206,  182,  164,  207,
WP, 26, 2018090900, 83, AP06,  84, 162N, 1340E,  64,  970,   ,  50, NEQ,  125,   66,    0,  112,
WP, 26, 2018090900, 83, AP06,  96, 166N, 1312E,  62,  963,   ,  34, NEQ,  273,  245,  217,  243,
WP, 26, 2018090900, 83, AP06,  96, 166N, 1312E,  62,  963,   ,  50, NEQ,  151,  102,   77,  146,
WP, 26, 2018090900, 83, AP06, 108, 171N, 1287E,  74,  948,   ,  34, NEQ,  299,  247,  216,  295,
WP, 26, 2018090900, 83, AP06, 108, 171N, 1287E,  74,  948,   ,  50, NEQ,  129,  122,  110,  133,
WP, 26, 2018090900, 83, AP06, 120, 177N, 1261E,  84,  938,   ,  34, NEQ,  317,  291,  227,  303,
WP, 26, 2018090900, 83, AP06, 120, 177N, 1261E,  84,  938,   ,  50, NEQ,  146,  146,  138,  139,
WP, 26, 2018090900, 83, AP06, 132, 184N, 1228E,  95,  919,   ,  34, NEQ,  270,  332,  218,  259,
WP, 26, 2018090900, 83, AP06, 132, 184N, 1228E,  95,  919,   ,  50, NEQ,  176,  161,  113,  163,
WP, 26, 2018090900, 83, AP06, 144, 187N, 1199E,  76,  942,   ,  34, NEQ,  261,  271,  210,  307,
WP, 26, 2018090900, 83, AP06, 144, 187N, 1199E,  76,  942,   ,  50, NEQ,  170,  105,  135,  148,
WP, 26, 2018090900, 83, AP06, 156, 193N, 1172E,  78,  943,   ,  34, NEQ,  227,  234,  233,  196,
WP, 26, 2018090900, 83, AP06, 156, 193N, 1172E,  78,  943,   ,  50, NEQ,  139,  131,  118,  137,
WP, 26, 2018090900, 83, AP06, 168, 196N, 1148E,  75,  945,   ,  34, NEQ,  235,  273,  252,  182,
WP, 26, 2018090900, 83, AP06, 168, 196N, 1148E,  75,  945,   ,  50, NEQ,  148,  135,  130,  145,
WP, 26, 2018090900, 83, AP07,   0, 151N, 1548E,  50,  991,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP07,   0, 151N, 1548E,  50,  991,   ,  50, NEQ,   50,    0,    0,    0,
WP, 26, 2018090900, 83, AP07,  12, 153N, 1514E,  50,  991,   ,  34, NEQ,  119,   69,   57,  104,
WP, 26, 2018090900, 83, AP07,  12, 153N, 1514E,  50,  991,   ,  50, NEQ,    0,    0,    0,   46,
WP, 26, 2018090900, 83, AP07,  24, 151N, 1478E,  54,  986,   ,  34, NEQ,  100,   87,   78,   98,
WP, 26, 2018090900, 83, AP07,  24, 151N, 1478E,  54,  986,   ,  50, NEQ,   69,   46,    0,   61,
WP, 26, 2018090900, 83, AP07,  36, 148N, 1448E,  58,  981,   ,  34, NEQ,  115,  100,   87,  114,
WP, 26, 2018090900, 83, AP07,  36, 148N, 1448E,  58,  981,   ,  50, NEQ,   74,   45,    0,   67,
WP, 26, 2018090900, 83, AP07,  48, 147N, 1421E,  60,  978,   ,  34, NEQ,  159,  120,  105,  151,
WP, 26, 2018090900, 83, AP07,  48, 147N, 1421E,  60,  978,   ,  50, NEQ,   91,   69,   46,   85,
WP, 26, 2018090900, 83, AP07,  60, 150N, 1400E,  65,  968,   ,  34, NEQ,  192,  140,  105,  163,
WP, 26, 2018090900, 83, AP07,  60, 150N, 1400E,  65,  968,   ,  50, NEQ,  105,   78,   63,   98,
WP, 26, 2018090900, 83, AP07,  72, 154N, 1378E,  70,  961,   ,  34, NEQ,  203,  159,  127,  192,
WP, 26, 2018090900, 83, AP07,  72, 154N, 1378E,  70,  961,   ,  50, NEQ,  122,   91,   74,   99,
WP, 26, 2018090900, 83, AP07,  84, 161N, 1357E,  82,  949,   ,  34, NEQ,  210,  173,  159,  207,
WP, 26, 2018090900, 83, AP07,  84, 161N, 1357E,  82,  949,   ,  50, NEQ,  128,  105,   82,  114,
WP, 26, 2018090900, 83, AP07,  96, 170N, 1335E,  82,  936,   ,  34, NEQ,  230,  204,  159,  215,
WP, 26, 2018090900, 83, AP07,  96, 170N, 1335E,  82,  936,   ,  50, NEQ,  138,  100,   97,  127,
WP, 26, 2018090900, 83, AP07, 108, 178N, 1313E,  78,  940,   ,  34, NEQ,  260,  233,  201,  254,
